price,bedroom,bathroom,sq_ft,aircorn,pcode,tsp_en,tsp_mm,floor,overhead_tank,parquet,tiles,price_sqft
500,1,1,1026,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,3,False,False,False,48732.9434697856
500,0,0,625,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,0,,,,80000
500,0,0,1081,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,,,,,46253.4690101758
500,0,0,750,0,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,,,,,66666.6666666667
500,0,0,1020,0,MMR013016,Pazundaung,ပုဇွန်တောင်,3,,,,49019.6078431373
500,3,2,1050,0,MMR013013,Thaketa,သာကေတ,4,False,False,True,47619.0476190476
500,0,1,976,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,0,False,False,False,51229.5081967213
500,1,1,750,0,MMR013017,Botahtaung,ဗိုလ်တထောင်,6,False,False,False,66666.6666666667
500,2,1,1045,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,4,,,,47846.8899521531
500,0,1,765,0,MMR013040,Hlaing,လှိုင်,0,False,False,False,65359.477124183
500,0,1,650,0,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,3,False,False,False,76923.0769230769
500,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,6,True,False,False,51440.329218107
500,0,0,650,0,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,3,False,False,False,76923.0769230769
500,0,0,750,0,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,3,,,,66666.6666666667
500,2,1,900,1,MMR013015,Tamwe,တာမွေ,3,False,False,True,55555.5555555556
500,0,2,900,0,MMR013015,Tamwe,တာမွေ,2,,,,55555.5555555556
500,0,1,729,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,0,False,False,True,68587.1056241427
500,2,1,687,2,MMR013039,Sanchaung,စမ်းချောင်း,4,,,,72780.2037845706
500,0,1,800,0,MMR013044,Bahan,ဗဟန်း,4,True,False,False,62500
500,2,1,750,0,MMR013015,Tamwe,တာမွေ,5,False,False,True,66666.6666666667
500,2,1,688,1,MMR013015,Tamwe,တာမွေ,1,False,True,False,72674.4186046512
500,1,1,1200,1,MMR013015,Tamwe,တာမွေ,2,False,False,False,41666.6666666667
500,0,1,650,0,MMR013042,Mayangone,မရမ်းကုန်း,0,False,False,False,76923.0769230769
500,0,1,1470,0,MMR013001,Insein,အင်းစိန်,5,,,,34013.6054421769
500,1,1,625,0,MMR013039,Sanchaung,စမ်းချောင်း,1,False,False,True,80000
500,0,0,625,0,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,1,False,False,False,80000
500,0,1,625,0,MMR013040,Hlaing,လှိုင်,0,False,False,False,80000
500,1,1,675,0,MMR013015,Tamwe,တာမွေ,4,False,False,False,74074.0740740741
500,0,1,625,0,MMR013015,Tamwe,တာမွေ,5,False,False,True,80000
500,0,1,625,0,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,1,False,False,True,80000
500,0,1,1200,0,MMR013039,Sanchaung,စမ်းချောင်း,0,True,False,False,41666.6666666667
500,0,1,972,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,2,False,False,False,51440.329218107
500,1,1,625,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,1,False,False,True,80000
500,0,1,750,0,MMR013015,Tamwe,တာမွေ,,False,False,True,66666.6666666667
